drug_a,drug_b,severity,description
Warfarin,Aspirin,major,"Additive effect on hemostasis significantly increases bleeding risk"
Warfarin,Ibuprofen,major,"NSAID plus anticoagulant significantly increases bleeding risk"
Warfarin,Ciprofloxacin,major,"Ciprofloxacin can raise INR and increase bleeding risk"
Warfarin,Metronidazole,major,"Metronidazole inhibits warfarin metabolism and can raise INR"
Warfarin,Fluconazole,major,"CYP2C9 inhibition markedly increases INR and bleeding risk"
Warfarin,Carbamazepine,moderate,"CYP450 induction can reduce warfarin's anticoagulant effect"
Warfarin,Phenytoin,moderate,"Complex bidirectional interaction alters warfarin metabolism; INR monitoring required"
Warfarin,Paracetamol,moderate,"Regular high-dose use can potentiate warfarin's anticoagulant effect"
Warfarin,Levothyroxine,moderate,"Can potentiate the anticoagulant effect of warfarin"
Simvastatin,Clarithromycin,major,"CYP3A4 inhibition raises statin levels, increasing myopathy/rhabdomyolysis risk"
Simvastatin,Amiodarone,major,"Increased statin levels raise myopathy/rhabdomyolysis risk"
Simvastatin,Diltiazem,major,"CYP3A4 inhibition raises statin levels, increasing myopathy risk"
Simvastatin,Verapamil,major,"CYP3A4 inhibition raises statin levels, increasing myopathy risk"
Sertraline,Tramadol,major,"Combined serotonergic activity increases serotonin syndrome risk"
Fluoxetine,Tramadol,major,"Combined serotonergic activity increases serotonin syndrome risk"
Sertraline,Sumatriptan,moderate,"Combined serotonergic activity increases serotonin syndrome risk"
Lithium,Hydrochlorothiazide,major,"Thiazide diuretics reduce lithium clearance, increasing toxicity risk"
Lithium,Lisinopril,major,"ACE inhibitors reduce lithium excretion, increasing toxicity risk"
Digoxin,Amiodarone,major,"Amiodarone significantly raises digoxin levels, increasing toxicity risk"
Digoxin,Verapamil,major,"Verapamil raises digoxin levels, increasing toxicity risk"
Digoxin,Furosemide,moderate,"Diuretic-induced hypokalemia increases digoxin toxicity risk"
Methotrexate,Ibuprofen,major,"NSAIDs reduce renal clearance of methotrexate, increasing toxicity risk"
Lisinopril,Spironolactone,major,"Combined effect on potassium excretion increases hyperkalemia risk"
Clopidogrel,Omeprazole,moderate,"CYP2C19 inhibition can reduce clopidogrel's antiplatelet effect"
Sildenafil,Isosorbide mononitrate,major,"Combined vasodilation can cause severe, potentially life-threatening hypotension"
Tadalafil,Isosorbide mononitrate,major,"Combined vasodilation can cause severe, potentially life-threatening hypotension"
Allopurinol,Azathioprine,major,"Xanthine oxidase inhibition raises azathioprine levels, risking severe bone marrow toxicity"
Clarithromycin,Colchicine,major,"CYP3A4/P-gp inhibition raises colchicine levels, increasing toxicity risk"
Theophylline,Ciprofloxacin,major,"Reduced theophylline clearance increases toxicity risk (seizures, arrhythmia)"
